title,romurbital,unidentified
nippur,,
duranki,,
uzumua,,
nufar,,
oroatis,,
oratis,,
mesene,,
characene,,
shad bahman,,
maisan,,
nina,,
ish?n zurghul,,
tigris,,
diglitus,,
idiglat,,
dicle,,
idiglat,,
tigr?s,,
di?la,,
di?le nehri,,
tigr?,,
tigris,,
tigris,,
tigris,,
dkla?,,
d???la,,
ša??,,
ša??,,
idigina,,
idiqlat,,
ad-di?la,,
tigris,,
sella,,
silhu,,
seleia,,
nar-kute,,
uruk,,
orchoe,,
erech,,
orikut,,
orcheni,,
tall al-wark??,,
warqa,,
warka,,
warka,,
al-wark??,,
uruk,,
uruk,,
tul?l al-wark??,,
unug,,
unu(g),,
orcho?,,
?rk,,
wark??,,
dur-yakin,,
durum,,
duru,,
kissik,,
tall al-la?am,,
qadissiyya,,
choaspes,,
eulaeus,,
uknu,,
mat tamti,,
tall al-la?am,,
pasitigris,,
alexandria,,
antiochia,,
spasinou charax,,
karkh maisan,,
astarabad ardashir,,
charax spasinu,,
arabia,,
chugh? m?sh,,
isin,,
ish?n ba?r?y?t,,
eridu,,
eridu ?an?b,,
eridu ?an?b,,
eridu ?an?b ii,,
eridu ?an?b i,,
eridu šim?l,,
eridu šim?l,,
eridu,,
tall ab? šahr?n,,
tall ab? šahrain,,
abu šahrain,,
ab? šahrain,,
eus 100,,
tall ab? šahrain,,
ab? shahra?n,,
aqola,,
al-kufa,,
euphrates,,
arahtu,,
buranun,,
purattu,,
al-fur?t,,
puranade,,
purattu,,
firat,,
al fur?t,,
al-furat,,
firat nehri,,
euphrates,,
omma,,
nahr al-fur?t,,
f?rat,,
f?rat nehri,,
euphrat,,
euphrat?s,,
mala,,
eprat,,
purattum,,
gattu,,
hurmizd ardashir,,
suq al-ahwaz,,
tareiana,,
s?q al-ahw?z,,
ahv?z,,
ahw?z,,
al-ahw?z,,
hormizd ardaš?r,,
ohurmazd-arta?š?r,,
ohurmazd-arta?š?r,,
ohurmazd-arta?š?r,,
jundishapur,,
veh-andiyok-shapur,,
beth lapat,,
bendosaboron,,
larsa,,
senkere,,
larsam,,
larsa,,
larsa,,
sankara,,
as-sankara,,
tall al-sankarah,,
jazireh khark,,
elamtu,,
elammat,,
elam,,
bet huzai,,
hithite,,
hudhud,,
koprates,,
banu lakhm,,
ban?t al-hassan,,
girsu,,
tell telloh,,
tall t?l?h,,
j?rs?,,
al-madhar,,
elymais,,
susiana,,
kashkar,,
kaskar,,
pasitigris,,
[dudjayl],,
dilmun,,
telmun,,
tilmun,,
forat,,
perat de meshan,,
bahman ardashir,,
oratha,,
furat al-basra,,
basra,,
bassorah,,
ardaš?r,,
ardašir,,
ba?ra,,
al-ba?ra,,
basra,,
basra,,
bardnesh?ndeh,,
eulaeus,,
ulaya,,
ula,,
e-kara,,
icarus,,
karduniaš,,
babylonia,,
babiru,,
babylonia,,
al-hira,,
hirta,,
al-hirta,,
hira,,
ertha,,
soloke,,
seleucia,,
surak,,
apologos,,
al-ubulla,,
archous,,
arakia,,
alexandrou,,
apamea,,
chaldaici l.,,
hedyphon,,
tholos,,
tholos of athens,,
h? skiás,,
casa del poeta tragico,,
casa omerica,,
casa di omero,,
casa del poeta,,
casa del poeta drammatico,,
haus der iphigenia,,
casa col cave canem,,
casa del concerto drammatico,,
domus of m. p. cepius,,
domus of aninius,,
vi.8.3,,
casa di glauco,,
casa col cave canem,,
house of the tragic poet,,
thelme,,
teredon,,
diridotis,,
teredonos,,
taxiana,,
taxian,,
thermae severianae,,
strophades,,
strophai,,
nar sharri,,
aginis,,
beona,,
beana,,
biana,,
graan,,
sele,,
palinza,,
aban,,
birande,,
dumatha,,
durine,,
saura,,
barbitace,,
agarra,,
sorthida,,
nehargur,,
sakrone,,
parapotamia,,
choumana,,
dera,,
korbiane,,
aple,,
arsiana,,
rima,,
ioukara,,
iskara,,
rhatta,,
arderikka,,
anouchtha,,
digba,,
pelodes kolpos,,
sagapenoi,,
chaltapitis,,
kaisa,,
rhagia,,
arakka,,
shadh-shapur,,
dima,,
dabitha,,
iamba,,
auchanitis,,
auranitis,,
ampe,,
margastana,,
mosaios,,
mogaios,,
ammaka,,
ammaia,,
asia,,
idikara,,
deera,,
aracha,,
kataderbis l.,,
cheiriphe,,
chiriphe,,
ausitai,,
harax,,
barbatia,,
amardokaia,,
dollamenoi,,
choudouka,,
ourzan,,
bethana,,
notitae,,
sinnin,,
silakenoi,,
bergan,,
orothophanitae,,
chaldaea,,
kaldu,,
dolomene,,
narraga,,
agra,,
abinna,,
abina,,
gnesiochartae,,
angli,,
carvium,,
albaniana,,
dulgubnii,,
albis,,
carvo,,
angrivarii,,
bructeri,,
broukteroi,,
castra herculis,,
aurelium cananefatium,,
forum hadriani,,
cananefates,,
voorburg,,
heruli,,
langobardi,,
farodini,,
laurum,,
hildesheim,,
cherusci,,
cherouskoi,,
aviones,,
flevum l.,,
frisii,,
chamavi,,
levefanum,,
francia,,
franci,,
chattuarii,,
attuarii,,
fectio,,
codanus sinus,,
chauci,,
harenatium,,
arenatio,,
batavodurum,,
ulpia noviomagus,,
noviomagus,,
batavi,,
nijmegen,,
amisia,,
elst,,
grinnes,,
burcana,,
burchanis,,
fabaria,,
borkum,,
kaloukones,,
abalus,,
ampsivarii,,
beregrani,,
area h,,
casa h,,
area l,,
casa l,,
uragh stone circle,,
porta praetoriana,,
tower of the archers,,
mausoleo di sant'elena,,
porta collina,,
galeria,,
tall zub?d?,,
sar-i pol-i zoh?b,,
tt 320,,
mitreo delle sette sfere,,
mithraeum of the seven spheres,,
dalmatia,,
mesopotamia,,
dacia,,
noricum,,
cilicia,,
phrygia,,
achaia,,
mu?ri,,
mu?ur,,
aegyptus,,
paphlagonia,,
numidia,,
dacia inferior,,
moesia inferior,,
galatia et cappadocia,,
lugdunensis,,
bithynia et pontus,,
bithynia et pontus,,
pontus galaticus,,
africa proconsularis,,
germania inferior,,
mauretania caesariensis,,
mauretania caesariensis,,
sicilia,,
armenia minor,,
asia,,
sardinia et corsica,,
sardinia et corsica,,
mauretania tingitana,,
germania superior,,
aquitania,,
gallia aquitania,,
akouitania,,
thracia,,
pisidia,,
britannia,,
brettanoi,,
lusitania,,
arabia,,
arabia,,
arabia,,
tarraconensis,,
raetia,,
baetica,,
lycia et pamphylia,,
hellespontus,,
iudaea,,
macedonia,,
makkadunayu,,
belgica,,
pontus polemoniacus,,
syria,,
armenia,,
moesia superior,,
dacia porolissensis,,
pannonia superior,,
cyprus,,
creta et cyrene,,
cyrene,,
pannonia inferior,,
dacia superior,,
narbonensis,,
gallia narbonensis,,
ellibir,,
šindarara,,
milefortlet 1,,
ampelaki bay,,
forum of nerva,,
forum nervae,,
forum transitorium,,
regio iv degli scavi archeologici di pompei,,
regio v degli scavi archeologici di pompei,,
regio vi degli scavi archeologici di pompei,,
alibey adas?,,
cunda adas?,,
mosko island,,
moskhonisi,,
moskhonisos,,
odeion of ancient messene,,
ecclesiasterion of ancient messene,,
to ekklisiastirio (odeio),,
temple of heracles,,
temple of hercules,,
tempio di eracle,,
tempio di ercole,,
sasso,,
domus del chirurgo,,
?ar??s,,
sant esteuan,,
santisteban del puerto,,
house of simon the cobbler,,
house of simon the shoemaker,,
padakku,,
al-ha'it,,
fadak,,
al-??yi?,,
arco romano de dona isabel,,
